id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,uploads_playlist
Ky1WodwYUA8,Ex-Google Engineer Reveals How to Pass a Technical Interview ft .@KevinNaughtonJr,"Today, you are going to learn exactly what it takes to pass a technical interview. In order to explain that to you, I brought one of my good friends, Kevin (  @KevinNaughtonJr  ). He is an Ex-Google, Ex-Amazon Software Engineer. He worked over eight years in the tech industry, and throughout his time there he's given hundreds of technical interviews. I brought him on to the channel to explain it to you.

DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim?video=Ky1WodwYUA8

Hashtags
#technicalinterview #exgoogle #softwareengineer",2025-11-30T11:01:49Z,"tech with tim, google interview, technical interview tips, coding interview prep, software engineering interview, google engineer advice, technical interview questions, coding interview strategies, interview preparation, tech job interview, programming interview tips, interview coding challenges, software developer interview, technical skills for google, tech interview techniques, interview success tips",27,en,en-CA,https://i.ytimg.com/vi/Ky1WodwYUA8/default.jpg,https://i.ytimg.com/vi/Ky1WodwYUA8/hqdefault.jpg,PT22M22S,984,98,2,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
il0dFcWBev0,Did you know about the range function?,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim

🎞 Video Resources 🎞

⏳ Timestamps ⏳

Hashtags

UAE Media License Number: 3635141",2025-11-29T16:38:34Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/il0dFcWBev0/default.jpg,https://i.ytimg.com/vi/il0dFcWBev0/hqdefault.jpg,PT1M49S,15663,234,4,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
J2fol8eWo64,Data Structures  - Full Course for Beginners,"This course will teach you about Data Structures and how they will apply in real-world scenarios, like computer science courses, preparing for technical interviews, or diving into LeetCode.

DevLaunch is my mentorship program where I work with you directly one on one to help you land a software engineering job, learn more from here: https://training.devlaunch.us/tim?video=J2fol8eWo64

🎞 Video Resources 🎞
Time Complexity Analysis: https://www.youtube.com/watch?v=6aDHWSNKlVw

⏳ Timestamps ⏳
00:01:59 | Arrays
00:21:07 | Single Linked List
00:35:07 | Doubly Linked List
00:45:42 | Queue
00:58:11 | Stack
01:08:36 | Binary Trees
01:35:45 | Binary Trees Continued
01:51:53 | Binary Search Trees
02:20:07 | Heaps
02:46:58 | Graphs
03:02:42 | Hashing


Hashtags
#datastructures #arrays #binarytree #heaps #hashing #singlelinkedlist #doublylinkedlist #datastructuresforbeginners #datastructurescourse",2025-11-28T09:33:02Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/J2fol8eWo64/default.jpg,https://i.ytimg.com/vi/J2fol8eWo64/hqdefault.jpg,PT3H11M8S,15732,1092,36,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
KXjccJm-06I,You need to follow a system...,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim

🎞 Video Resources 🎞

⏳ Timestamps ⏳

Hashtags",2025-11-28T09:14:39Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/KXjccJm-06I/default.jpg,https://i.ytimg.com/vi/KXjccJm-06I/hqdefault.jpg,PT57S,15551,484,17,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
sCiD-Wzj9P0,Watch this video if you're a developer!,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-11-27T17:43:21Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/sCiD-Wzj9P0/default.jpg,https://i.ytimg.com/vi/sCiD-Wzj9P0/hqdefault.jpg,PT1M26S,22017,964,13,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
KP42CpCCGmo,This is a huge red flag if you're a programmer...,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-11-26T18:58:13Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/KP42CpCCGmo/default.jpg,https://i.ytimg.com/vi/KP42CpCCGmo/hqdefault.jpg,PT58S,21354,669,20,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
pzcbRNLNkhY,My honest advice to aspiring software engineers,"Get Job Ready with SAL1 and PT1 Certifications at TryHackMe: https://tryhackme.com/yt_techwithtim. Use my code ""TIM25CERT"" for a MASSIVE 25% off on the certification fee and annual subscription

The software engineering field is tough, and for some, you may feel defeated. In this video, I want to give you a little hope, motivation, advice, and tell you some things that you can do that help you feel empowered as you go through this process.

DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim?video=pzcbRNLNkhY

Hashtags
#helpwithsoftwareengineering #adviceforsoftwareengineers #softwareengineerjobmarket #programmingadvice",2025-11-26T00:11:47Z,"tech with tim, Here are clean, high-signal YouTube tags you can paste directly — all comma separated: software engineering advice, becoming a software engineer, aspiring software engineer, software engineer tips, how to become a developer, tech career advice, junior developer tips, coding career guide, learn to code, programming advice, developer roadmap, software engineer roadmap, coding motivation, developer mindset, breaking into tech, how to get a tech job",27,en,en-CA,https://i.ytimg.com/vi/pzcbRNLNkhY/default.jpg,https://i.ytimg.com/vi/pzcbRNLNkhY/hqdefault.jpg,PT14M51S,24389,965,114,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
vB1HPzvpMVA,This is the #1 mistake people make in interviews.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim

🎞 Video Resources 🎞

⏳ Timestamps ⏳

Hashtags",2025-11-26T00:01:07Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/vB1HPzvpMVA/default.jpg,https://i.ytimg.com/vi/vB1HPzvpMVA/hqdefault.jpg,PT1M28S,24387,1293,12,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
9yuSAKLriAU,Did you know about this Python feature?,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-11-24T19:36:19Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/9yuSAKLriAU/default.jpg,https://i.ytimg.com/vi/9yuSAKLriAU/hqdefault.jpg,PT1M9S,7833,187,5,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
eSbeub2ZeNk,Build & Deploy a Python AI Agent in 20 Minutes,"Click this link https://www.boot.dev?promo=TECHWITHTIM and use my code TECHWITHTIM to get 25% off your first payment for boot.dev.

In this video, I'll show you how to build and deploy an AI agent in Python in a matter of minutes. We'll not write every single line of code completely from scratch, but I will cover all of the important concepts and all the code and demos that you need.

DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim?video=eSbeub2ZeNk

🎞 Video Resources 🎞
Vercel: https://vercel.com/docs/cli?package-manager=npm
NodeJS: https://nodejs.org/en
OpenAI Platform (API Keys): https://platform.openai.com/api-keys
Code In This Video: https://github.com/techwithtim/BuildAndDeployAIAgent

⏳ Timestamps ⏳
00:00 | Overview
00:33 | Tools & Architecture
02:14 | Setup & Install
06:30 | Writing the Agent 
12:09 | Writing the API
15:00 | HTML Template 
16:48 | Testing the Code
18:00 | Deploying to Vercel

Hashtags
#Python #AIAgents #SoftwareEngineer",2025-11-23T22:52:49Z,"tech with tim, python ai tutorial, build deploy ai agent, machine learning python, ai project in 20 minutes, python automation, openai api integration, python coding for ai, quick ai development, ai chatbot development, ai agent build guide, python scripting for ai, ai programming tutorial, rapid ai deployment, step-by-step ai build, ai application development, Boot.Dev",27,en,en-CA,https://i.ytimg.com/vi/eSbeub2ZeNk/default.jpg,https://i.ytimg.com/vi/eSbeub2ZeNk/hqdefault.jpg,PT23M16S,24733,887,19,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s800-c-k-c0x00ffffff-no-rj,1910000,1739,UU4JX40jDee_tINbkjycV4Sg
